timeS,t1,t2,t3,t4,t5,t6,t7,t8,t9
1.68E+18,33,0.022212175,-0.059604373,0.029479796,0.007912402,0.119208745,0.000122295,0.078694104,4.736000061
1.68E+18,33,0.02206677,-0.05973814,0.029902338,0.007769031,0.119476279,8.35E-05,0.085773304,4.736000061
1.68E+18,33,0.02206677,-0.05973814,0.029902338,0.007769031,0.119476279,9.64E-05,0.053192906,4.736000061
1.68E+18,33,0.021781027,-0.058882715,0.029614404,0.007487285,0.117765431,0.000122327,0.050840141,4.736000061
1.68E+18,32,0.021484383,-0.059155941,0.030476768,0.007194791,0.118311882,0.000122327,0.051456131,4.800000191
1.68E+18,31,0.021484383,-0.059155941,0.030476768,0.007194791,0.118311882,0.000128751,0.079117941,4.800000191
1.68E+18,30,0.021334467,-0.059288213,0.030900555,0.007053191,0.118576426,0.000122326,0.0759339,4.800000191
1.68E+18,29,0.021334467,-0.059288213,0.030900555,0.007053191,0.118576426,0.000122326,0.074044657,4.800000191
1.68E+18,28,0.021476959,-0.05915697,0.031044382,0.006635629,0.118313939,7.71E-05,0.074527329,4.604000092
1.68E+18,28,0.022332636,-0.058368838,0.031908074,0.004128128,0.116737676,8.35E-05,0.079250602,4.604000092
1.68E+18,27,0.022334035,-0.05836755,0.031909485,0.00412403,0.1167351,9.65E-05,0.054283997,4.604000092
1.68E+18,26,0.022334035,-0.05836755,0.031909485,0.00412403,0.1167351,7.07E-05,0.091262623,4.604000092
1.68E+18,25,0.022334035,-0.05836755,0.031909485,0.00412403,0.1167351,8.35E-05,0.106740808,4.703999996
1.68E+18,31,0.023333427,-0.058003343,0.032918238,0.001751679,0.116006687,8.34E-05,0.106740808,4.703999996
1.68E+18,30,0.023469987,-0.057877637,0.03363764,0.00077001,0.115755274,8.34E-05,0.093265111,4.703999996
1.68E+18,29,0.023469987,-0.057877637,0.03363764,0.00077001,0.115755274,8.34E-05,0.093265111,4.703999996
1.68E+18,28,0.023062064,-0.057748522,0.033779296,0.000907162,0.115497044,0.000141525,0.102855348,4.468000412
1.68E+18,27,0.023062064,-0.057748522,0.033779296,0.000907162,0.115497044,0.000141525,0.116879702,4.468000412
1.68E+18,26,0.023064176,-0.057746577,0.033781431,0.00090097,0.115493154,0.000128671,0.102453992,4.468000412
1.68E+18,25,0.023057214,-0.057744373,0.033783848,0.000903311,0.115488747,0.000141488,0.098466645,4.468000412
1.68E+18,26,0.02223174,-0.057483096,0.034070505,0.00118085,0.114966192,0.000147949,0.101506841,4.468000412
1.68E+18,26,0.02223174,-0.057483096,0.034070505,0.00118085,0.114966192,0.000109259,0.081887223,4.580000401
